PLAYER NAME,PLAYING ROLE,COUNTRY,TEAM,AGE,BASE PRICE,SOLD PRICE,RUNS-S,AVE,SR-B,SIXERS,WKTS,ECON,T-RUNS,T-WKTS,ODI-RUNS-S,ODI-SR-B,ODI-WKTS,ODI-SR-BL,HS,RUNS-C,AVE-BL,SR-BL,CAPTAINCY EXP
"Kumar, P",Bowler,IND,RCB+,1,200000,800000,243,10.57,114.08,14,53,7.73,149,27,292,88.21,77,42.1,34,1919,36.21,28.11,0
"Kumble, A",Bowler,IND,RCB,3,250000,500000,35,11.67,74.47,0,2,9.55,2506,619,938,61.06,337,43.0,8,105,52.5,33.0,1
"Langeveldt, CK",Bowler,SA,KKR+,3,100000,140000,8,4.0,88.89,1,13,7.19,16,16,73,58.87,100,34.8,8,187,14.38,12.0,0
"Laxman, VVS",Batsman,IND,DC+,3,150000,375000,282,15.67,105.62,5,0,0.0,8781,2,2338,71.23,0,0.0,52,0,0.0,0.0,1
"Lee, B",Bowler,AUS,KXI+,2,300000,900000,103,11.44,121.18,6,21,7.56,1451,310,1100,82.45,377,29.2,25,1009,48.05,38.24,0
"Maharoof, MF",Allrounder,SL,DD,2,150000,225000,177,17.7,143.9,9,27,7.43,556,25,1042,84.44,133,33.3,39,520,19.26,15.56,0
"Malinga, SL",Bowler,SL,MI,2,200000,350000,64,5.82,100.0,4,83,6.36,275,101,327,73.81,185,31.1,17,1381,16.64,15.69,0
"Mascarenhas, AD",Allrounder,ENG,RR+,2,100000,100000,74,8.22,101.37,1,19,7.01,0,0,245,95.33,13,63.2,27,331,17.42,14.95,0
"Mathews, AD",Allrounder,SL,KKR+,1,300000,950000,376,25.07,123.28,12,15,8.2,1219,7,1447,82.59,42,43.0,65,537,35.8,26.33,0
"McCullum, BB",W. Keeper,NZ,KKR+,2,175000,700000,1233,28.02,123.42,48,0,0.0,3763,0,4511,89.62,0,0.0,158,0,0.0,0.0,1
"McDonald, AB",Allrounder,AUS,DD+,2,50000,80000,123,30.75,125.51,4,10,8.41,107,9,0,0.0,0,0.0,33,244,24.4,17.4,0
"McGrath, GD",Bowler,AUS,DD,3,350000,350000,4,4.0,80.0,0,12,6.61,641,563,115,48.72,381,34.0,4,357,29.75,27.0,0
Misbah-ul-Haq,Batsman,PAK,RCB,3,100000,100000,117,16.71,144.44,6,0,0.0,2173,0,2763,75.1,0,0.0,47,0,0.0,0.0,1
"Mishra, A",Bowler,IND,DD+,2,100000,300000,186,10.94,102.2,3,74,7.11,392,43,5,27.77,19,40.1,31,1530,20.68,17.46,0
"Mithun, A",Bowler,IND,RCB,1,100000,260000,32,8.0,133.33,1,6,9.89,120,9,51,92.72,3,60.0,11,435,72.5,44.0,0
Mohammad Asif,Bowler,PAK,DD,2,225000,650000,3,1.5,50.0,0,8,9.25,141,106,34,34.0,46,42.1,3,296,37.0,24.0,0
"Morkel, JA",Allrounder,SA,CSK,2,225000,675000,781,24.41,146.25,45,69,8.25,58,1,782,100.25,50,41.4,71,1899,27.52,20.01,0
"Morkel, M",Bowler,SA,RR+,2,100000,475000,60,10.0,111.11,2,38,7.37,555,139,117,75.97,94,28.5,16,884,23.26,18.95,0
"Muralitharan, M",Bowler,SL,CSK+,3,250000,600000,20,3.33,66.67,0,57,6.49,1261,800,674,77.56,534,35.2,6,1395,24.47,22.63,0
"Nannes, DP",Bowler,AUS,DD+,3,200000,650000,4,4.0,30.77,0,24,7.17,0,0,1,50.0,1,42.0,3,627,26.13,21.92,0
"Nayar, AM",Allrounder,IND,MI+,2,50000,800000,563,19.41,123.19,19,7,8.74,0,0,0,0.0,0,0.0,35,263,37.57,25.86,0
"Nehra, A",Bowler,IND,DD+,2,200000,850000,38,19.0,82.61,1,48,7.57,77,44,141,57.31,157,36.6,22,1192,24.83,19.73,0
"Noffke, AA",Allrounder,AUS,RCB,2,20000,20000,9,9.0,90.0,0,1,10.0,0,0,0,0.0,1,54.0,9,40,40.0,24.0,0
"Ntini, M",Bowler,SA,CSK,2,200000,200000,11,11.0,61.11,0,7,6.91,699,390,199,66.77,266,32.6,11,242,34.57,30.0,0
"Ojha, NV",W. Keeper,IND,RR+,2,100000,270000,960,22.33,117.94,50,0,0.0,0,0,1,14.28,0,0.0,94,0,0.0,0.0,0
"Ojha, PP",Bowler,IND,DC+,1,200000,500000,10,1.0,30.3,0,69,7.16,70,62,41,43.61,20,41.7,3,1548,22.43,18.8,0
"Oram, JDP",Allrounder,NZ,CSK+,2,200000,675000,106,13.25,98.15,5,9,9.26,1780,60,2377,87.16,168,39.7,41,327,36.33,23.67,0
Pankaj Singh,Bowler,IND,RCB+,2,50000,95000,7,3.5,58.33,0,11,9.36,0,0,3,100.0,0,0.0,4,468,42.55,27.27,0
"Patel, MM",Bowler,IND,RR+,2,100000,275000,39,7.8,235.49,0,70,7.39,60,35,74,66.07,86,36.6,23,1504,21.49,17.47,0
"Patel, PA",W. Keeper,IND,CSK+,2,150000,325000,912,20.27,107.29,13,0,0.0,683,0,736,76.5,0,0.0,57,0,0.0,0.0,0
"Pathan, IK",Allrounder,IND,KXIP+,2,200000,925000,929,23.82,128.31,34,66,7.74,1105,100,1468,78.96,165,34.0,60,1975,29.92,23.23,0
"Pathan, YK",Allrounder,IND,RR+,2,100000,475000,1488,25.66,149.25,81,36,7.2,0,0,810,113.6,33,45.1,100,1139,31.64,26.36,0
"Pietersen, KP",Batsman,ENG,RCB+,2,1350000,1550000,634,42.27,141.2,30,7,7.41,6654,5,4184,86.76,7,57.1,103,215,30.71,24.86,1
"Pollock, SM",Allrounder,SA,MI,3,200000,550000,147,18.37,132.43,8,11,6.54,3781,421,3519,86.69,393,39.9,33,301,27.36,25.0,1
"Pomersbach, LA",Batsman,AUS,KXIP+,2,20000,50000,244,27.11,130.48,12,0,0.0,0,0,0,0.0,0,0.0,79,0,0.0,0.0,0
"Ponting, RT",Batsman,AUS,KKR,3,335000,400000,39,9.75,73.58,1,0,0.0,13218,5,13704,80.39,3,50.0,20,0,0.0,0.0,1
"Powar, RR",Bowler,IND,KXIP+,2,150000,170000,67,22.33,104.69,1,13,7.42,13,6,163,62.69,34,45.1,28,527,40.54,32.77,0
"Raina, SK",Batsman,IND,CSK,1,125000,650000,2254,33.64,139.39,97,20,7.05,710,13,3525,92.71,16,61.9,98,678,33.9,28.9,0
"Ryder, JD",Allrounder,NZ,RCB+,2,100000,160000,604,21.57,131.88,19,8,7.73,1269,5,1100,89.72,11,34.8,86,303,37.88,29.5,0
"Saha, WP",W. Keeper,IND,KKR+,2,100000,100000,372,28.62,128.28,16,0,0.0,74,0,4,80.0,0,0.0,59,0,0.0,0.0,0
"Sangakkara, KC",W. Keeper,SL,KXIP+,2,250000,700000,1567,27.98,124.76,27,0,0.0,9382,0,10472,75.75,0,0.0,94,0,0.0,0.0,1
"Sarwan, RR",Batsman,WI,KXIP,2,225000,225000,73,18.25,97.33,1,0,0.0,5842,23,5644,75.76,16,36.3,31,0,0.0,0.0,0
"Sehwag, V",Batsman,IND,DD,2,400000,1800000,1879,30.31,167.32,79,6,10.56,8178,40,8090,104.68,95,45.4,119,226,37.67,21.67,1
Shahid Afridi,Allrounder,PAK,DC,2,225000,675000,81,10.12,176.08,6,9,7.5,1716,48,7040,113.87,344,43.4,33,225,25.0,20.0,1
"Sharma, I",Bowler,IND,KKR+,1,150000,950000,37,9.25,80.43,1,36,7.63,432,133,47,34.05,64,33.6,9,1176,32.67,23.61,0
"Sharma, J",Allrounder,IND,CSK,2,100000,225000,36,9.0,120.0,2,12,9.88,0,0,35,116.66,1,150.0,16,419,34.92,21.33,0
"Sharma, RG",Batsman,IND,DC+,1,150000,750000,1975,31.35,129.17,82,14,8.0,0,0,1961,78.85,8,59.1,109,408,29.14,21.86,0
Shoaib Akhtar,Bowler,PAK,KKR,3,250000,425000,2,2.0,28.57,0,5,7.71,544,178,394,73.23,247,31.4,2,54,10.8,8.4,0
Shoaib Malik,Allrounder,PAK,DD,2,300000,500000,52,13.0,110.63,0,2,10.0,1606,21,5253,78.37,139,47.6,24,85,42.5,25.5,1
"Silva, LPC",Batsman,SL,DC,2,100000,100000,40,20.0,153.84,1,0,21.0,537,1,1587,70.4,1,42.0,23,21,0.0,0.0,0
"Singh, RP",Bowler,IND,DC+,2,200000,875000,52,3.47,68.42,1,74,7.75,116,40,104,42.97,69,37.1,10,1892,25.57,19.78,0
"Smith, DR",Allrounder,WI,DC+,2,100000,100000,439,25.82,148.81,24,9,8.14,320,7,925,97.26,56,44.8,87,338,37.56,27.89,0
"Smith, GC",Batsman,SA,RR+,2,250000,250000,739,28.42,110.63,9,0,0.0,8042,8,6598,81.58,18,57.0,91,0,0.0,0.0,1
Sohail Tanvir,Bowler,PAK,RR,2,100000,100000,36,12.0,124.13,1,22,6.46,17,5,268,94.03,55,37.4,13,266,12.09,11.2,0
"Sreesanth, S",Bowler,IND,KXIP+,2,200000,625000,33,11.0,64.71,0,35,8.25,281,87,44,36.36,75,33.0,15,1031,29.46,21.43,0
"Steyn, DW",Bowler,SA,RCB+,2,150000,325000,70,4.67,86.42,1,59,6.58,770,272,142,73.57,91,33.7,13,1304,22.1,20.15,0
"Styris, SB",Allrounder,NZ,DC+,3,175000,175000,131,18.71,98.5,3,8,7.67,1586,20,4483,79.41,137,44.6,36,276,34.5,27.0,0
"Symonds, A",Allrounder,AUS,DC+,3,250000,1350000,974,36.07,129.87,41,20,7.7,1462,24,5088,92.44,133,44.6,117,674,33.7,26.35,0
"Taibu, T",W. Keeper,ZIM,KKR,2,125000,125000,31,10.33,119.23,0,0,0.0,1546,1,3393,67.58,2,42.0,15,0,0.0,0.0,1
"Taylor, LRPL",Batsman,NZ,RCB+,2,400000,1000000,895,27.97,130.28,45,0,12.0,2742,2,3185,81.77,0,0.0,81,24,0.0,0.0,1
"Tendulkar, SR",Batsman,IND,MI,3,400000,1800000,2047,37.91,119.22,24,0,9.67,15470,45,18426,86.23,154,52.2,100,58,0.0,0.0,1
"Tiwary, MK",Batsman,IND,DD+,2,100000,675000,969,31.26,113.33,22,1,11.25,0,0,165,75.68,1,60.0,75,45,45.0,24.0,0
"Tiwary, SS",Batsman,IND,MI+,1,100000,1600000,836,25.33,119.6,32,0,0.0,0,0,49,87.5,0,0.0,42,0,0.0,0.0,0
"Tyagi, S",Bowler,IND,CSK,1,50000,240000,3,3.0,0.75,0,6,8.55,0,0,1,50.0,3,55.0,3,295,49.17,34.83,0
Umar Gul,Bowler,PAK,KKR,2,150000,150000,39,13.0,205.26,5,12,8.17,541,157,368,69.04,154,32.2,24,184,15.33,11.2,0
"Uthappa, RV",Batsman,IND,RCB+,2,200000,800000,1538,26.98,126.17,59,0,0.0,0,0,786,91.92,0,0.0,69,0,0.0,0.0,0
"Vaas, WPUJC",Bowler,SL,DC,3,200000,200000,81,10.13,110.96,3,18,7.55,3089,355,2025,72.52,400,39.4,20,355,19.72,15.67,0
Van der Merwe,Allrounder,SA,RCB+,2,50000,50000,137,15.22,118.1,8,18,6.83,0,0,39,95.12,17,41.4,35,427,23.72,20.94,0
"Venugopal Rao, Y",Batsman,IND,DC+,2,100000,700000,914,22.29,118.24,37,6,9.44,0,0,218,60.05,0,0.0,71,321,53.5,34.0,0
"Vettori, DL",Allrounder,NZ,DD+,2,250000,625000,121,15.13,107.08,2,28,6.81,4486,359,2105,81.93,282,45.7,29,878,31.36,27.75,1
"Vinay Kumar, R",Bowler,IND,RCB+,2,100000,475000,217,9.43,104.83,5,61,8.24,11,1,43,43.87,28,35.3,25,1664,27.28,19.87,0
"Warne, SK",Bowler,AUS,RR,3,450000,450000,198,9.9,92.52,6,57,7.27,3154,708,1018,72.04,293,36.3,34,1447,25.39,20.95,1
"Warner, DA",Batsman,AUS,DD,1,200000,750000,1025,27.7,135.76,44,0,0.0,483,2,876,85.79,0,0.0,109,0,0.0,0.0,0
"White, CL",Batsman,AUS,RCB+,2,100000,500000,745,31.04,132.09,29,0,14.0,146,5,2037,80.48,12,27.5,78,70,0.0,0.0,1
"Yadav, AS",Batsman,IND,DC,2,50000,750000,49,9.8,125.64,2,0,0.0,0,0,0,0.0,0,0.0,16,0,0.0,0.0,0
Younis Khan,Batsman,PAK,RR,2,225000,225000,3,3.0,42.85,0,0,0.0,6398,7,6814,75.78,3,86.6,3,0,0.0,0.0,1
Yuvraj Singh,Batsman,IND,KXIP+,2,400000,1800000,1237,26.32,131.88,67,23,7.02,1775,9,8051,87.58,109,44.3,66,569,24.74,21.13,1
Zaheer Khan,Bowler,IND,MI+,2,200000,450000,99,9.9,91.67,1,65,7.75,1114,288,790,73.55,278,35.4,23,1783,27.43,21.26,0
"Zoysa, DNT",Bowler,SL,DC,2,100000,110000,11,11.0,122.22,0,2,9.0,288,64,343,95.81,108,39.4,10,99,49.5,33.0,0
